  index	           x	       x_err	           y	       y_err	        dist	    dist_err
    128	120.38338637	  1.11900777	 46.95116094	  2.55808664	129.23944735	  1.23792702
    129	124.35008985	  1.25091216	 45.97610676	  1.56038010	132.58566225	  1.33752439
    130	128.19273145	  1.71938378	 54.91524510	  5.82220357	139.55336591	  3.28221572
    131	129.23569616	  1.59474313	 55.56423827	  3.68742171	140.71975160	  1.82798508
    132	132.57530864	  2.41061168	 45.76491647	  2.98441355	140.27560526	  2.84822427
    133	125.17495136	  1.79126465	 38.79127532	  3.00703724	131.08011817	  1.94551015
    134	121.67532145	  1.84920516	 45.67212957	  3.16416068	129.99607150	  2.29785486
    135	129.74701128	  2.58074756	 53.90001012	  2.33901089	140.50562283	  3.13036881
    136	129.29531700	  3.63308951	 59.64812054	  1.71335184	142.40635551	  3.42667566
    137	117.40435652	  3.23830484	 58.44321555	  0.85630129	131.15799272	  2.86237515
    138	111.72795778	  3.44062094	 56.31234032	  2.77687800	125.17677579	  2.13071562
    139	 97.96339439	  2.96989484	 58.04078882	  2.26151071	113.90002973	  2.50554196
    140	102.32564686	  1.97557986	 55.35139280	  1.60983988	116.35122594	  1.78924926
    141	106.75297350	  2.79555721	 56.61855242	  2.27242088	120.87248318	  2.16325605
    142	110.21324986	  1.49557925	 51.06056049	  1.73447422	121.47641163	  1.69347489
    143	111.18837874	  1.96681100	 47.85675999	  2.37217926	121.08147926	  1.37695513
    144	116.00972274	  1.43854954	 51.72627567	  2.90601118	127.04678133	  1.86896860
    145	117.22572635	  2.08636709	 58.48152165	  3.37232597	131.03779951	  2.60382470
    146	104.22899498	  4.77807754	 66.77120628	  3.40936502	123.89556314	  2.53389222
    147	 96.36335661	  1.85414806	 70.19771929	  2.71682024	119.25534461	  1.61184646
    148	 95.12371524	  1.52747188	 73.51028493	  2.27831024	120.23193889	  2.02186266
    149	 95.79057451	  1.75583433	 69.41584087	  2.14741543	118.31337273	  2.00831004
    150	 85.95701203	  2.63436290	 76.23382384	  4.06615206	114.97852912	  1.90134562
    151	 93.08884075	  2.34839881	 85.68494314	  1.79293448	126.53272161	  2.37522753
    152	101.18642291	  3.05627553	 98.53817754	  3.06228720	141.25487618	  3.77398907
    153	106.86025543	  1.90397848	 95.86799194	  1.57276321	143.57128122	  1.78100936
    154	108.96666583	  1.40842046	 95.05237108	  1.51224621	144.60388520	  1.63536874
    155	107.72031665	  1.50543076	100.51479137	  4.64597740	147.37748678	  3.25848444
    156	112.64968808	  2.39465355	100.51317419	  4.52527895	151.03938070	  2.48362721
    157	113.97994619	  2.35010449	102.94704273	  2.46326990	153.61004142	  2.25113399
    158	119.98688124	  2.27739196	104.79244768	  1.44860828	159.31204545	  2.29475850
    159	120.51784910	  1.71949744	108.39046610	  3.03538263	162.10300206	  2.79857732
    160	123.94462910	  1.24821576	102.72300631	  2.14267087	160.99093816	  1.53428133
    161	129.66685412	  2.96410105	101.81961464	  2.03362879	164.88177512	  2.76563811
    162	124.59122933	  1.75475983	102.44377434	  3.06200010	161.33114900	  1.55457820
    163	124.92918084	  2.95625955	109.85809977	  2.41435987	166.38888687	  2.32577737
    164	117.04114727	  2.33039103	110.10566653	  2.88981712	160.72979489	  1.26600002
    165	124.14513828	  3.22124818	111.40770561	  4.02814544	166.81605356	  4.76433619
    166	131.94613046	  3.31773570	120.23858469	  1.97882721	178.53132041	  2.93075986
    167	130.91187213	  1.67200373	124.99975683	  3.56330325	181.02291430	  3.00910264
    168	129.89576360	  3.40499084	133.70588077	  2.92222281	186.45872689	  1.85700555
    169	127.70879686	  1.66057988	137.28073546	  1.43949535	187.50266830	  1.76526951
    170	129.15235599	  3.07711812	136.36733347	  1.26208855	187.83717818	  2.15330250
