            time               x               y             v_x             v_y
             110       -4.083363        15.89134       0.5939449         1.75774
             111       -4.003393        16.47048       0.2354177      -0.3156875
             112       -3.946834        16.77473       -1.081444       -1.208012
             113       -4.606668          15.966       0.1048074       -1.171341
             114       -4.749775        14.65955         1.02334        1.226339
             115       -4.801619        16.03612        1.187149       0.5247657
             116       -3.217105         17.0421        0.975715      -0.1997906
             117        -1.84519        16.51021        1.591948      -0.5747541
             118      -0.9863233        16.76605      -0.4189402        1.225846
             119       -2.592051        17.24926     -0.08910498        1.310831
             120       -2.217795         19.0821      -0.1098424       0.7946363
             121        -2.17223        19.23723     -0.07950424       0.7224108
             122      -0.7226854        17.73165      -0.7637256        1.353779
             123     0.003761987        19.19793      -0.2574195        1.186921
             124      -0.7037228        19.22094      -0.3465531      -0.2435403
             125       -1.446346        18.61148      0.09044255       0.2822335
             126       -3.403834        19.17795         0.64382      0.05334793
             127       -1.581198         18.1783       0.3555269       0.6631244
             128       -1.416502        18.95071       0.8419554       0.4505225
             129      -0.5880714        19.07526        1.696569        1.831042
             130      -0.1757084        19.24902       0.5259384       0.2194353
             131       0.4600169        19.21413      -0.7430674       0.7588964
             132       0.6743373        18.86096       0.3090752       0.7041173
             133      -0.3527708         17.4909      -0.9733426       0.1428698
             134       -0.836136        16.81256       -1.498595       0.8439456
             135       -1.112634        18.44671       -1.976858       0.4827422
             136       -2.684023        20.18762      -0.2730714     -0.02917682
             137       -1.786707        20.12823       0.1056101        1.446712
             138      -0.7973619        21.87873       0.3813613      -0.7722148
             139       -0.676251        20.81363       0.7292704       -1.138555
             140      -0.6323932        21.22241       0.7674298       0.8461448
             141       0.2363404         23.0114        1.001936       0.2955938
             142        1.864701        23.38465        1.082258      0.02938729
             143        1.689875        24.37043        1.545019      -0.1467409
             144        1.914775        24.33505        1.420427       0.8584196
             145        4.298737        26.18975        1.131972      -0.1979254
             146        3.928244        26.50262       0.7573244       -1.546046
             147        3.421219        25.01098        1.520763       -1.032532
             148        3.332284         24.3582        1.884074      -0.4388761
             149        4.230104        24.85722       0.2554961       0.7476981
             150        3.781407        24.69999       0.8575257      0.05495304
             151        3.916728        24.08516       0.5517073       0.5637859
             152        3.532637        23.30523      -0.1761398       0.1729627
             153         3.29555        24.47098       0.1165236     -0.09560888
             154        1.701189        24.63387     -0.03122356       0.2781841
             155        2.122069        23.77507      -0.8563081      -0.5366225
             156        1.748455        23.13274        1.096429      -0.2747236
             157        2.835042        23.10045      -0.3726617       0.4522839
             158        1.833022          22.146       -1.397398        0.265648
             159          2.1691        22.56873      -0.7601837       0.6193575
             160        2.395406        22.01753      -0.8123042      -0.1598125
             161        2.465981        23.32815      -0.7404539      -0.1876588
             162         1.76775        22.75869      -0.2823485       -1.085977
             163         1.92607        21.28698       0.4126884     -0.08488761
             164        1.613777        20.50941       0.4681631        0.781363
             165        2.180244        20.77128      -0.1025877       0.2621807
             166        1.619824        21.08404       -0.268215       0.6954737
             167        2.029962        21.37728       -1.729424       0.9099048
             168        3.151157        21.69401       -2.593638        1.725096
             169        2.115562        22.11912       0.6739581       0.8035038
             170        1.997137        23.06044       0.1962179        0.538897
             171       0.6689356        22.18729       0.4116362      -0.4128065
             172        1.407903         22.2487       0.9591825       0.3125307
             173        1.460045        22.42985       0.8804264        1.344338
             174        2.178109        22.29769        1.945627       0.7235994
             175        3.197163        23.15775      -0.3588701      -0.3932755
             176        3.558641        22.38763     -0.02653949       -1.196781
             177        3.311445         21.7885     -0.09414223      -0.5164431
             178        4.710305        23.31827       0.6197846    -0.003305557
             179        5.951701        24.67938        -1.32634      -0.7403662
             180        6.222553        24.24556       -1.047206       0.5410615
             181        6.569007        23.89471       0.7748916       0.2297917
             182        5.720664        25.26292      0.07289862       -1.364038
             183        5.337989        26.48882      -0.5435043       -2.311129
             184        4.864529        26.51071      -0.6720723     0.004720393
             185        4.707997        27.06267      -0.3900303       0.1888002
             186        5.114998        27.58452      -0.2700709       0.6451722
             187        5.740582        27.09714        1.620971      -0.3819894
             188        5.672886        29.30373       0.3774322       -1.738944
             189        5.276698        27.29719       -2.723748       0.5428661
             190        4.013798        27.43111       -1.375363        1.477522
             191        2.418066        27.83928      -0.7190026        1.728229
             192        2.888252        30.21104       0.4258724      -0.8034876
             193        2.519363        31.47002        1.223042        1.598792
             194        2.779033        33.16638       0.1790375      -0.7122094
             195        2.761124        32.97148        1.287023       -1.009147
             196        2.424823        32.92929      0.01667525      -0.1054927
             197        1.407841        32.68314     -0.02977385     -0.05598155
             198       0.7961963        32.07372       0.3008384       0.5186424
             199        1.697269        31.38301      -0.3179412        1.017956
             200        1.387767        32.88508      -0.3159307       0.2587115
             201        2.085579         34.5448      -0.1845672       0.6933799
             202       0.4480418        36.69215       0.3963625      -0.1980854
             203       0.4684897        37.10207        1.046906      0.01130148
             204        1.804118        37.57431      -0.5089516     -0.02031921
             205        2.971527         36.3777       0.6948106       -1.235156
             206        1.121695        36.36268        2.277273        -1.16128
             207       0.9296886        36.12249       0.7376293       -1.826566
             208        3.098927        35.44795      -0.2144968      -0.9490813
             209        3.123839        35.34263       0.5901229        0.990377
             210         4.63562        36.22071      -0.1487488       0.2826352
             211        3.478213        35.09427       -1.256656       0.6528287
             212        2.142976        33.38316       -1.176946       0.7243918
             213       0.5464239        34.60124      -0.2917247      -0.4316763
             214       0.1015077         35.3055       -1.500717       0.5567855
             215        1.067871        35.51347       -1.349895        1.236702
             216       0.4096974        35.78451      0.03207985         1.15096
             217       0.8126773        36.98009      -0.4786556       0.7273846
             218          2.1131        36.91097      -0.6435916       0.7303961
             219        3.960602        36.62555      -0.5421109      -0.5124752
             220        4.368915         35.8746       -1.579621       0.4896575
             221        4.168041        35.47347       0.7078025      -0.8458904
             222        4.009002        35.36968      -0.1448398      -0.7892277
             223        2.054747        35.36854      -0.1962358      -0.4739276
             224         1.94862        32.69003        -1.28949      -0.7200286
             225        2.624631        32.10002       0.9373736       -1.316539
             226        2.135985        30.92066      0.02383235       0.5840865
             227       0.3049488        32.69893        2.497639      0.09393649
             228       0.1697058        32.13126        1.375001        0.224418
             229      -0.1680891        33.41662      -0.0308087      -0.5884614
             230      -0.7392672         33.1575       0.1976258       0.8286879
             231       0.1656312        33.12994       0.2104196       -1.768924
             232      -0.7615897        32.91013      -0.2711859       -1.614436
             233      -0.3931415        33.01613      -0.4373775       -0.502229
             234      -0.5502656        34.29904      -0.4888711       -1.089321
             235      -0.9090284        32.82998        1.715927        1.611644
             236      -0.5944608        33.82408        1.057584       0.1828029
             237       0.8117345        34.43671       0.1878668       0.4838067
             238        1.922131        32.61008       -1.207278       0.5419175
             239        1.372183         32.4713       -1.082294         1.17474
             240     -0.08846369        32.45139       -1.422526      0.01579964
             241       0.2049676        31.92977       0.1483188       0.9740446
             242     -0.07840217         31.1902       -2.321982        1.777319
             243       -1.708592        32.46157       0.5518006       0.1772145
             244       -3.327318         31.1182        0.639609        1.028775
             245       -3.526046        31.08842       0.6065338       0.5583751
             246       -3.406665        31.47525       -1.354464       -1.117774
             247       -3.226511        32.30874       -1.415257     -0.09052616
             248       -2.418657        33.38175      -0.3569512      -0.4790734
             249       -2.453622        32.33964      -0.4625578       0.2117756
             250        -1.99957        32.80975        1.207083       0.2800572
             251    -0.009157052        33.93203        0.689041       -1.147632
             252      -0.9486943        34.32071       0.1371724       0.1564994
             253      -0.9230805        33.53716       0.3173911       -1.412973
             254      -0.1521181        32.56684      -0.2654785       -1.361016
             255      -0.7570398         34.1273       -1.000984       0.1129723
             256      -0.4061973        34.47603    0.0003905871       -0.489893
             257       0.2913026         32.7253      -0.6041776       0.8311201
             258     -0.07625573        32.93502       -1.029467       0.8458185
             259      -0.9343247        33.86869       0.9899381       0.8567316
             260      -0.6797866        34.77087        0.495674       0.9178533
             261       0.3142866        36.11606       0.2542904       0.6801515
             262      -0.3856463        37.36877      -0.5151272       0.4652798
             263      -0.8676978        37.36659      -0.5203452        1.253735
             264      -0.6438151        38.15458        1.788363        2.102478
             265       0.2805168        39.96835        1.605115        2.066502
             266       0.2271768        40.58164          1.4557       0.5224481
             267       0.4176487        40.42065        2.079813       0.7115736
             268        1.627466        40.81133       -1.089615       0.4969947
             269     -0.05713495        43.28677        0.889215     -0.04354759
             270       0.6548521        44.33479      -0.2821748       0.2050615
             271       -1.747836        43.88992      -0.2719485      0.00626821
             272       -1.067875        44.38739      -0.4602152       0.5679252
             273      -0.8439413        42.85803      -0.8206095        1.510046
             274        -1.72175          42.811        1.003767        1.251497
             275      -0.9276877        42.82272      -0.7341868       0.2948204
             276      -0.2827058         43.0326      -0.9031219       -1.178046
             277      -0.4621188        41.18993      -0.1115846       0.9998423
             278       -1.721097        41.58549        0.369737       -2.039065
             279       -1.354465        41.56815       0.7087743       -1.084836
             280       -1.138359        41.53654       -1.139352     -0.07329628
             281       -3.508579         40.4652        1.002604       -1.152899
             282       -4.155687        39.36988       0.3872143       -1.244179
             283       -6.182476         39.2149       0.3683768        1.216107
             284       -5.527069        39.38256       0.7707614       -1.316918
             285        -5.30924        39.40357      -0.3454743       -2.034777
             286       -4.189396        38.66125      -0.7493842       -2.978606
             287       -5.165099         37.6255       -2.293094      -0.7643283
             288        -7.12529        38.23188      0.04067553      -0.5713102
             289       -8.044187        38.36389       -1.095588      -0.1509673
             290       -8.228287         38.7059      -0.1077735       0.3274145
             291       -6.938265        38.79348       0.9938948       0.3395941
             292       -6.116396        38.44182        1.740377        1.397966
             293       -5.967358        39.64169       0.5753806       0.9582195
             294       -4.604831        39.44757        0.115232        1.716624
             295       -4.083969        40.45991      -0.5400761      -0.2879369
             296       -5.070886        40.00992       -1.612021       0.2359068
             297       -5.136573        40.35005      -0.3032485        0.654053
             298       -5.973796        41.63273       0.2859638      -0.2774223
             299       -6.827392        41.38993      -0.5936671       0.5325885
             300       -5.884079        40.43077       0.1072169        1.856322
             301       -6.632901        41.24221       -1.325763      -0.7273422
             302       -7.369187        41.17086       -1.350884        1.954013
             303       -7.181851        43.75045      -0.4518336      -0.2461065
             304        -8.00147        43.28433      -0.6171135       0.8756637
             305       -6.967316        44.00353      -0.5472687       0.4674712
             306       -7.441162        43.73831       -0.266775       0.9551274
             307       -5.716028        45.73004       0.1542048       0.2614805
             308       -4.437163        47.05726        1.594186       0.2943042
             309       -3.425978        46.80629       0.4350143      -0.5228379
             310        -2.73634         46.0305      -0.8696917      -0.6187523
             311       -4.646298        45.53554       0.1084785       -1.071492
             312       -5.476423        43.81696        1.344143      -0.5089243
             313        -4.94441        43.86837       -0.637971      -0.8218323
             314       -3.406995         43.4772      -0.9375667       0.8136418
             315       -3.003465        43.75142      -0.3323065        0.549022
             316       -1.630878        42.62499      -0.4686907      -0.4426208
             317       -4.134058        42.19051      -0.8181447       -1.886337
             318       -3.706268        42.14871      -0.1173878       -1.187388
             319       -3.262723        42.49933      -0.8271586       -1.103445
             320       -3.930225        41.94006      -0.6977615      -0.7989307
             321       -3.182493        42.49062      -0.2586535      -0.7299968
             322       -3.373437        40.35269       0.7692799       0.1223482
             323       -3.873857        40.83486        0.139853        0.760674
             324       -3.782983        40.13491       0.4317798      -0.3249551
             325       -4.268426        39.58828      -0.3245824        3.696397
             326        -2.86441        41.24256       0.2435468      -0.3465699
             327       -1.940338        40.39574       -1.007508       -1.721146
             328       -2.814988        38.35292       0.2722587         1.38464
             329       -3.710759        37.73697      0.05065944       -0.986548
             330       -4.227834         37.8962        2.088353      -0.3713229
             331       -5.420444        36.62158      -0.4743715      -0.3178677
             332       -5.501408        35.13423       -1.005793      -0.7553689
             333        -5.55968        34.87458       0.7482898       0.2302654
             334       -5.888108        33.70978      0.08173375        1.128561
             335       -6.142513        34.04257      -0.8280681       0.2363957
             336       -5.057829        35.60085         0.25832       0.5149935
             337       -5.363096        35.19867      -0.8362674        1.054992
             338       -5.714246        35.39365        1.503096       0.7771562
             339       -5.153823        35.90803       0.3562657        1.945684
             340       -4.086052        36.09732      -0.0303331       0.8651853
             341       -4.451675        38.09718       0.6642463      -0.3152652
             342       -5.330994        38.09434        -1.02298      -0.3057137
             343       -4.680522        38.13917      -0.7194979        1.215415
             344       -5.111525        38.31111       -1.008469      -0.8072924
             345       -3.537369        38.09032       -1.115575      -0.9461728
             346       -4.146183        38.00132      -0.5752105       0.9020866
             347       -4.504191        39.54373       0.7116487        1.674583
             348        -3.22523        40.99793      0.09306415        1.382537
             349       -3.316544        39.62607      -0.1871525       0.5999704
             350       -3.419355        41.50235      -0.2908446      0.01456864
             351       -2.923598        41.52901        0.953538      -0.5176745
             352       -2.464068        41.23634      -0.7392601     -0.07462417
             353       -2.066385        42.11421      -0.7754396      0.03104866
             354       -3.145533        42.74825       0.9554566       0.6118524
             355       -2.986305        43.97019      -0.4517209       0.7800185
             356       -3.737362        43.85176      -0.4145673        1.079906
             357       -5.983348         43.3907      -0.3006337      -0.1232934
             358       -6.285798        42.36657      0.08874047       0.8059505
             359       -5.943019        44.26294        1.545854       0.9842195
             360       -7.141177        45.47084       0.5941531       0.1201156
             361       -8.281972        45.31034       0.2630524        0.915312
             362       -8.100959        44.52085      -0.5143377      -0.4690348
             363       -9.525126        45.07947       -1.410882      0.07988899
             364       -11.08796        46.13062       -2.799556       -1.154014
             365       -12.67611        45.80828       0.2170408      -0.8518227
             366       -13.12782        45.61917      -0.7339461      -0.5484602
             367        -13.5453        43.71053      -0.9054119      0.06218432
             368       -12.81027        43.27672       0.3193124      -0.4462788
             369       -13.24528        43.65958        -1.65885      -0.1830943
             370       -14.01285        43.14466      -0.3473617      -0.9362853
             371        -15.4452        43.10312        -1.41972       0.6956408
             372        -15.0039         43.4717       -1.309048      -0.4169592
             373       -15.13881        41.59903       -1.079803       0.8910571
             374       -15.28092        42.02013        -2.48055       0.6090394
             375       -14.76615        40.60127       -0.240647      -0.5548414
             376        -15.6228        40.96443      -0.2735599       0.6982439
             377       -16.02282        41.34916        -2.60782      -0.3127588
             378       -16.22355        41.94488      -0.3804161       0.1100682
             379       -15.52842        40.44087      -0.9585547     -0.01308206
             380       -15.60984        39.61122      -0.9372638      0.06531105
             381       -15.77596        38.84873      -0.7605197      -0.1898197
             382       -16.37377         40.1838       0.2834503       0.3746229
             383       -15.94447        40.86084        1.332097       -0.442414
             384       -15.68646        41.31745         1.26363       -1.230873
             385       -15.02769        41.56258        2.087156       -1.816004
             386        -14.8892          41.884       0.3505582       -0.644644
             387       -15.78602        42.37424      -0.1795895      0.07700386
             388        -17.3583         43.3258       0.6259957       0.6472176
             389       -16.68102        43.01261       0.4389996       0.8877855
             390       -15.59695        44.47021      -0.3213427      -0.1134306
             391       -14.19635        44.56054      -0.1015662       0.2851622
             392       -15.05927        45.49016        2.205017       0.9813101
             393       -12.98537        44.66348      -0.5670951        1.718457
             394       -12.72311        44.88025       0.2361678       -1.097214
             395       -11.73037        44.70468         1.66702      -0.3298364
             396       -12.90164        43.75675      -0.9848577        1.244675
             397       -11.84681        44.49619     -0.02248082      0.09305709
             398        -12.5048        46.43421       -1.739079       0.8951007
             399       -13.44473        47.39391        -1.26884      -0.4369863
             400       -13.93536        48.60681       -1.570412      -0.8021332
             401       -14.11048        49.09017       -4.064913        1.335155
